feature_index,TrailID
68,1203
103,169
113,990
119,1741
155,685
200,933
208,1512
213,1516
322,1633
327,1640
342,1656
343,1657
344,1666
367,1701
378,24
524,329
548,376
550,383
553,849
556,388
671,566
676,562
682,575
711,73
735,635
816,748
894,865
939,90
957,925
5,10
10,107
14,1144
18,114
19,1683
41,918
47,1179
50,119
67,1198
71,124
73,127
79,128
82,476
89,6
102,133
106,1331
107,1332
116,1344
134,1362
138,1356
146,1370
151,1377
154,612
166,1392
169,866
176,1538
180,1407
182,1412
184,1414
194,1419
200,625
201,146
203,150
212,1515
214,1527
215,951
217,600
221,1524
222,1526
229,1534
238,693
239,1537
240,279
249,1552
254,266
255,1561
270,1578
277,1585
291,1600
296,1599
312,1627
316,1623
317,1624
323,1634
325,1636
333,1643
341,1655
343,286
345,1669
347,1664
355,490
373,1732
380,18
391,189
392,184
395,188
404,194
406,200
411,204
421,217
422,212
423,223
427,214
429,22
430,229
434,2311
439,655
440,236
442,235
451,254
454,244
464,412
469,11
471,272
473,271
482,282
484,284
486,285
492,293
498,289
502,308
503,305
509,585
516,312
526,337
530,36
532,356
546,210
552,392
557,389
558,452
567,40
568,439
571,4003
583,421
584,260
585,417
586,416
597,427
620,460
624,464
627,465
647,483
649,482
655,549
665,555
673,569
677,564
681,571
701,596
710,61
714,615
717,614
720,616
726,624
732,584
733,631
737,632
740,64
750,654
761,666
762,667
766,664
770,68
771,672
772,611
773,75
775,680
784,690
789,140
804,714
809,224
829,77
832,802
836,806
843,81
848,810
854,824
861,829
863,831
866,834
876,844
878,847
880,845
893,868
904,875
905,873
919,35
922,886
927,28
938,905
950,91
954,920
961,932
964,936
968,938
970,930
972,949
974,393
993,454
1006,979
1010,975
1011,98
1019,163
